Type_ID,Size_ID,Boiler_consumption
1,1,76.29668483
1,2,74.15949537
1,3,143.7600946
1,4,257.8278722
1,5,247.2620286
1,6,240.9390843
3,1,606.339618
3,2,388.1355353
3,3,355.9807368
3,4,354.7380435
4,1,175.7086691
4,2,414.0148982
4,3,514.114939
4,4,584.7732651
4,5,621.3327788
4,6,705.8832243
4,7,813.712005
4,8,1107.619811
5,1,0
5,2,115.767572
5,3,143.323994
6,1,408.0373114
6,2,556.7296112
6,3,1043.57786
7,1,174.1393015
7,2,266.2563535
7,3,425.3486742
7,4,635.7483563
7,5,611.5210253
7,6,814.3408689
7,7,983.5684944
7,8,1113.711116
8,1,455.7333041
9,1,0
9,2,0
10,1,492.0736388
10,2,441.2488706
10,3,1444.310459
10,4,571.8676063
10,5,514.9102051
11,1,0
11,2,0
12,1,383.73165
13,1,335.0562615
13,2,383.7469361
14,1,330.4686006
14,2,236.5431966
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
