Engine,Max_C,L1pc,L3pc
MAN B&W G95ME-C9.5-TII,15,6870,6010
MAN B&W S90ME-C10.5-TII,12,6100,5230
MAN B&W G80ME-C9.5-TII,9,4710,3800
MAN B&W S80ME-C9.5-TII,9,4510,4160
MAN B&W G70ME-C9.5-TII,8,3640,2720
MAN B&W S70ME-C8.5-TII,8,3270,2620
MAN B&W L70ME-C8.5-TII,8,3270,2750
MAN B&W S65ME-C8.5-TII,8,2870,2330
MAN B&W G60ME-C9.5-TII,8,2680,1990
MAN B&W S60ME-C8.5-TII,8,2380,1900
MAN B&W G50ME-B9.5-TII,9,1720,1360
MAN B&W S50ME-B9.5-TII,8,1780,1350
MAN B&W S50ME-C8.5-TII,9,1660,1340
MAN B&W S46ME-B8.5-TII,8,1380,1125
MAN B&W G45ME-C9.5-TII,8,1390,1090
MAN B&W G40ME-C9.5-TII,8,1100,870
MAN B&W S40ME-B9.5-TII,8,1135,865
MAN B&W S35ME-B9.5-TII,8,870,665
MAN B&W S30ME-B9.5-TII,8,640,485
